date;heure;PM10;NO2
;;microg/m3;microg/m3
19/02/2011;1;80;61
19/02/2011;2;81;59
19/02/2011;3;82;50
19/02/2011;4;78;41
19/02/2011;5;71;37
19/02/2011;6;59;44
19/02/2011;7;53;51
19/02/2011;8;44;57
19/02/2011;9;36;63
19/02/2011;10;41;64
19/02/2011;11;36;73
19/02/2011;12;34;75
19/02/2011;13;37;71
19/02/2011;14;44;87
19/02/2011;15;47;101
19/02/2011;16;49;90
19/02/2011;17;49;95
19/02/2011;18;45;100
19/02/2011;19;47;98
19/02/2011;20;50;92
19/02/2011;21;57;85
19/02/2011;22;59;91
19/02/2011;23;46;90
19/02/2011;24;40;82
20/02/2011;1;33;73
20/02/2011;2;31;57
20/02/2011;3;27;49
20/02/2011;4;30;46
20/02/2011;5;48;39
20/02/2011;6;46;44
20/02/2011;7;61;45
20/02/2011;8;49;51
20/02/2011;9;36;50
20/02/2011;10;25;48
20/02/2011;11;34;48
20/02/2011;12;26;51
20/02/2011;13;29;52
20/02/2011;14;36;55
20/02/2011;15;37;65
20/02/2011;16;32;68
20/02/2011;17;40;66
20/02/2011;18;38;70
20/02/2011;19;35;67
20/02/2011;20;43;65
20/02/2011;21;42;58
20/02/2011;22;37;51
20/02/2011;23;36;49
20/02/2011;24;36;47
21/02/2011;1;33;40
21/02/2011;2;32;36
21/02/2011;3;31;34
21/02/2011;4;31;33
21/02/2011;5;29;36
21/02/2011;6;31;53
21/02/2011;7;38;83
21/02/2011;8;50;106
21/02/2011;9;82;120
21/02/2011;10;91;109
21/02/2011;11;79;91
21/02/2011;12;68;91
21/02/2011;13;61;84
21/02/2011;14;57;100
21/02/2011;15;55;103
21/02/2011;16;43;107
21/02/2011;17;38;96
21/02/2011;18;42;89
21/02/2011;19;54;79
21/02/2011;20;44;71
21/02/2011;21;43;54
21/02/2011;22;44;55
21/02/2011;23;46;45
21/02/2011;24;43;43
22/02/2011;1;43;42
22/02/2011;2;38;42
22/02/2011;3;35;36
22/02/2011;4;42;31
22/02/2011;5;50;31
22/02/2011;6;57;45
22/02/2011;7;64;65
22/02/2011;8;73;85
22/02/2011;9;83;88
22/02/2011;10;81;99
22/02/2011;11;n/d;n/d
22/02/2011;12;n/d;84
22/02/2011;13;73;79
22/02/2011;14;56;79
22/02/2011;15;n/d;83
22/02/2011;16;47;80
22/02/2011;17;41;98
22/02/2011;18;49;105
22/02/2011;19;52;113
22/02/2011;20;60;103
22/02/2011;21;57;102
22/02/2011;22;57;93
22/02/2011;23;62;78
22/02/2011;24;60;69
23/02/2011;1;58;56
23/02/2011;2;62;51
23/02/2011;3;63;43
23/02/2011;4;61;45
23/02/2011;5;66;50
23/02/2011;6;69;67
23/02/2011;7;79;91
23/02/2011;8;93;116
23/02/2011;9;97;119
23/02/2011;10;99;124
23/02/2011;11;n/d;n/d
23/02/2011;12;n/d;n/d
23/02/2011;13;n/d;n/d
23/02/2011;14;n/d;n/d
23/02/2011;15;n/d;n/d
23/02/2011;16;n/d;124
23/02/2011;17;70;127
23/02/2011;18;63;130
23/02/2011;19;61;n/d
23/02/2011;20;60;113
23/02/2011;21;45;85
23/02/2011;22;37;76
23/02/2011;23;41;74
23/02/2011;24;33;58
24/02/2011;1;26;47
24/02/2011;2;22;39
24/02/2011;3;26;53
24/02/2011;4;28;50
24/02/2011;5;23;50
24/02/2011;6;19;78
24/02/2011;7;22;94
24/02/2011;8;26;103
24/02/2011;9;33;118
24/02/2011;10;40;106
24/02/2011;11;37;98
24/02/2011;12;37;97
24/02/2011;13;40;98
24/02/2011;14;n/d;87
24/02/2011;15;n/d;n/d
24/02/2011;16;n/d;100
24/02/2011;17;37;86
24/02/2011;18;32;112
24/02/2011;19;42;121
24/02/2011;20;43;107
24/02/2011;21;43;94
24/02/2011;22;42;89
24/02/2011;23;40;112
24/02/2011;24;45;110
25/02/2011;1;43;93
25/02/2011;2;36;75
25/02/2011;3;35;51
25/02/2011;4;25;31
25/02/2011;5;21;44
25/02/2011;6;26;65
25/02/2011;7;26;94
25/02/2011;8;38;110
25/02/2011;9;39;117
25/02/2011;10;41;106
25/02/2011;11;n/d;n/d
25/02/2011;12;n/d;n/d
25/02/2011;13;n/d;n/d
25/02/2011;14;n/d;n/d
25/02/2011;15;36;100
25/02/2011;16;34;93
25/02/2011;17;33;107
25/02/2011;18;29;107
25/02/2011;19;33;108
25/02/2011;20;38;106
25/02/2011;21;44;91
25/02/2011;22;36;86
25/02/2011;23;37;90
25/02/2011;24;38;82
26/02/2011;1;22;75
26/02/2011;2;23;70
26/02/2011;3;21;67
26/02/2011;4;20;54
26/02/2011;5;19;51
26/02/2011;6;21;52
26/02/2011;7;28;52
26/02/2011;8;24;62
26/02/2011;9;20;66
26/02/2011;10;12;69
26/02/2011;11;15;72
26/02/2011;12;11;71
26/02/2011;13;14;58
26/02/2011;14;16;52
26/02/2011;15;23;70
26/02/2011;16;25;80
26/02/2011;17;18;94
26/02/2011;18;12;94
26/02/2011;19;23;89
26/02/2011;20;17;79
26/02/2011;21;11;61
26/02/2011;22;16;63
26/02/2011;23;9;62
26/02/2011;24;19;54
27/02/2011;1;24;56
27/02/2011;2;23;53
27/02/2011;3;23;42
27/02/2011;4;18;35
27/02/2011;5;20;34
27/02/2011;6;21;36
27/02/2011;7;13;41
27/02/2011;8;7;38
27/02/2011;9;24;43
27/02/2011;10;25;42
27/02/2011;11;24;40
27/02/2011;12;21;52
27/02/2011;13;10;42
27/02/2011;14;15;49
27/02/2011;15;20;55
27/02/2011;16;17;59
27/02/2011;17;17;75
27/02/2011;18;21;83
27/02/2011;19;32;98
27/02/2011;20;35;74
27/02/2011;21;25;78
27/02/2011;22;29;77
27/02/2011;23;34;79
27/02/2011;24;31;70
28/02/2011;1;30;52
28/02/2011;2;29;43
28/02/2011;3;28;63
28/02/2011;4;30;56
28/02/2011;5;29;59
28/02/2011;6;35;70
28/02/2011;7;31;89
28/02/2011;8;38;105
28/02/2011;9;49;102
28/02/2011;10;43;90
28/02/2011;11;37;85
28/02/2011;12;n/d;81
28/02/2011;13;n/d;78
28/02/2011;14;66;85
28/02/2011;15;76;91
28/02/2011;16;86;94
28/02/2011;17;84;95
28/02/2011;18;77;104
28/02/2011;19;81;96
28/02/2011;20;80;81
28/02/2011;21;71;68
28/02/2011;22;57;63
28/02/2011;23;60;64
28/02/2011;24;64;51
01/03/2011;1;62;48
01/03/2011;2;61;44
01/03/2011;3;64;44
01/03/2011;4;65;40
01/03/2011;5;60;47
01/03/2011;6;57;61
01/03/2011;7;58;75
01/03/2011;8;63;79
01/03/2011;9;66;73
01/03/2011;10;75;72
01/03/2011;11;n/d;77
01/03/2011;12;n/d;68
01/03/2011;13;n/d;66
01/03/2011;14;n/d;73
01/03/2011;15;n/d;73
01/03/2011;16;n/d;87
