date;heure;PM25;PM10;O3;NO2;CO
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/06/2016;1;11;17;20;24;200
01/06/2016;2;8;14;31;15;200
01/06/2016;3;7;13;29;15;300
01/06/2016;4;9;12;27;18;300
01/06/2016;5;16;19;19;28;300
01/06/2016;6;24;29;10;40;300
01/06/2016;7;21;27;11;42;300
01/06/2016;8;22;30;13;37;300
01/06/2016;9;23;32;14;35;300
01/06/2016;10;23;31;15;36;300
01/06/2016;11;23;29;24;29;300
01/06/2016;12;22;29;27;30;300
01/06/2016;13;23;30;29;34;300
01/06/2016;14;28;35;38;33;300
01/06/2016;15;n/d;34;46;31;200
01/06/2016;16;28;35;42;37;200
01/06/2016;17;29;36;38;41;300
01/06/2016;18;27;34;31;35;200
01/06/2016;19;24;30;31;31;200
01/06/2016;20;19;25;32;28;200
01/06/2016;21;10;14;29;25;200
01/06/2016;22;7;11;24;30;200
01/06/2016;23;8;10;31;23;200
01/06/2016;24;7;12;36;17;200
02/06/2016;1;7;11;48;11;100
02/06/2016;2;8;14;56;9;100
02/06/2016;3;12;16;58;8;100
02/06/2016;4;16;23;55;10;100
02/06/2016;5;16;23;47;19;100
02/06/2016;6;15;23;38;30;200
02/06/2016;7;10;17;32;41;200
02/06/2016;8;9;14;41;34;200
02/06/2016;9;11;19;42;32;200
02/06/2016;10;12;21;49;27;200
02/06/2016;11;14;20;47;28;200
02/06/2016;12;15;18;49;27;200
02/06/2016;13;13;20;53;22;200
02/06/2016;14;12;19;45;31;200
02/06/2016;15;12;19;44;32;200
02/06/2016;16;13;19;46;27;200
02/06/2016;17;13;19;45;28;200
02/06/2016;18;14;22;45;27;200
02/06/2016;19;14;22;44;28;200
02/06/2016;20;12;18;42;29;200
02/06/2016;21;11;17;49;20;200
02/06/2016;22;11;16;44;24;200
02/06/2016;23;11;17;49;19;200
02/06/2016;24;9;14;52;15;100
03/06/2016;1;6;13;48;14;200
03/06/2016;2;5;11;54;11;200
03/06/2016;3;5;9;56;10;200
03/06/2016;4;6;11;51;13;200
03/06/2016;5;7;12;42;24;200
03/06/2016;6;6;13;37;31;200
03/06/2016;7;6;11;32;38;200
03/06/2016;8;7;13;36;34;200
03/06/2016;9;7;14;33;35;200
03/06/2016;10;7;13;32;37;200
03/06/2016;11;9;16;39;29;200
03/06/2016;12;12;18;42;28;200
03/06/2016;13;11;18;35;33;200
03/06/2016;14;9;18;37;32;200
03/06/2016;15;10;15;39;29;200
03/06/2016;16;11;n/d;39;30;200
03/06/2016;17;11;n/d;38;29;200
03/06/2016;18;13;18;39;28;300
03/06/2016;19;12;16;35;31;300
03/06/2016;20;15;18;37;27;200
03/06/2016;21;17;22;36;27;200
03/06/2016;22;17;24;32;27;200
03/06/2016;23;17;24;30;26;200
03/06/2016;24;17;23;28;26;200
04/06/2016;1;17;23;29;24;300
04/06/2016;2;16;20;34;17;200
04/06/2016;3;16;20;33;16;200
04/06/2016;4;17;20;33;13;200
04/06/2016;5;17;21;29;18;200
04/06/2016;6;18;24;27;22;200
04/06/2016;7;17;23;29;23;200
04/06/2016;8;15;23;32;24;200
04/06/2016;9;15;23;37;24;200
04/06/2016;10;13;21;47;23;200
04/06/2016;11;14;19;53;19;200
04/06/2016;12;14;19;47;20;300
04/06/2016;13;15;21;49;18;200
04/06/2016;14;14;19;52;18;200
04/06/2016;15;14;19;53;21;200
04/06/2016;16;15;21;43;24;300
04/06/2016;17;17;23;52;24;300
04/06/2016;18;19;25;48;28;300
04/06/2016;19;18;25;50;27;300
04/06/2016;20;19;25;53;25;300
04/06/2016;21;20;28;59;23;200
04/06/2016;22;20;28;57;19;200
04/06/2016;23;18;28;51;21;200
04/06/2016;24;17;26;50;22;200
05/06/2016;1;17;23;53;20;200
05/06/2016;2;14;20;56;19;200
05/06/2016;3;14;19;57;15;200
05/06/2016;4;13;17;59;11;200
05/06/2016;5;13;16;56;12;200
05/06/2016;6;17;21;50;13;200
05/06/2016;7;20;27;43;18;200
05/06/2016;8;24;32;41;15;200
05/06/2016;9;28;36;40;16;200
